plt_cn,condid,invyr,statecd,countycd,plot,smplnnbr,measyear,forflthk,ltrlrthk,forflthkn,ltrlrthkn,forflthks,ltrlrthks,forflthke,ltrlrthke,forflthkw,ltrlrthkw,vstnbr,txtrlyr1,txtrlyr2,dpthsbsl,soils_statcd
449072927489998,1,2018,27,7,21087,4,2018,0.625,0.2,0.6,0.2,0.5,0.2,0.7,0.2,0.7,0.2,1,,,13.5,1
449072936489998,,2018,27,61,20843,2,2018,,,,,,,,,,,1,,,,2
449072936489998,,2018,27,61,20843,3,2018,,,,,,,,,,,1,,,,2
449072936489998,2,2018,27,61,20843,4,2018,0.175,0.075,0.2,0.1,0.1,0,0.2,0.1,0.2,0.1,1,,,20,1
449071894489998,1,2018,27,97,20376,2,2018,0.875,0.85,0.5,0.4,1.5,1.5,0.5,0.5,1,1,1,2,2,20,1
449071894489998,1,2018,27,97,20376,3,2018,1.5,1.45,1.3,1.2,1.9,1.8,1.2,1.2,1.6,1.6,1,,,99.9,1
449071894489998,1,2018,27,97,20376,4,2018,1.225,1.175,0.9,0.9,1.6,1.5,1.1,1,1.3,1.3,1,,,20,1
449072782489998,1,2018,27,137,27354,2,2018,0.225,0.125,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.2,1,0,0,20,1
449072782489998,1,2018,27,137,27354,3,2018,20,0.05,20,0.1,20,0,20,0.1,20,0,1,,,20,1
449072782489998,,2018,27,137,27354,4,2018,,,,,,,,,,,1,,,,4
449071226489998,,2018,27,7,20849,2,2018,,,,,,,,,,,1,,,,9
59428586010478,1,2004,5,105,49,2,2003,0.325,0.225,0.3,0.2,0.3,0.2,0.3,0.2,0.4,0.3,1,1,1,0.8,1
59428586010478,1,2004,5,105,49,3,2003,0.275,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.2,1,0,0,0.7,1
59428586010478,1,2004,5,105,49,4,2003,0.325,0.275,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,1,0,0,0.8,1
59603318010478,1,2004,5,5,39,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
59603318010478,1,2004,5,5,39,3,2003,0.275,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,1,0,0,0.2,1
59603318010478,1,2004,5,5,39,4,2003,0.3,0.225,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,1,0,0,0.2,1
59574583010478,2,2004,5,55,46,2,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59574583010478,1,2004,5,55,46,3,2003,0.075,0,0.1,0,0,0,0.1,0,0.1,0,1,0,0,5,1
59574583010478,2,2004,5,55,46,4,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
59531329010478,1,2004,5,133,47,2,2003,0,0,0,0,0,0,0,0,0,0,1,3,3,1.5,1
59531329010478,1,2004,5,133,47,3,2003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0,0,5,1
59531329010478,1,2004,5,133,47,4,2003,0.1,0.05,0.1,0,0.1,0.1,0.1,0,0.1,0.1,1,0,0,5,1
59608595010478,3,2004,5,15,58,2,2003,0.15,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,1,1,4,1.2,1
59432764010478,1,2004,5,113,64,2,2003,0.075,0.05,0.1,0,0.1,0.1,0.1,0.1,0,0,1,1,1,0.9,1
65227592010661,1,2000,27,137,26451,4,2000,2.2,1.6,2,1.2,2,1.6,2.4,1.6,2.4,2,1,,,20,1
65189768010661,,2000,27,1,20855,2,2000,,,,,,,,,,,1,,,,4
65189768010661,,2000,27,1,20855,3,2000,,,,,,,,,,,1,,,,4
59608595010478,1,2004,5,15,58,3,2003,0.25,0.125,0.3,0.2,0.2,0.1,0.3,0.1,0.2,0.1,1,0,0,0.5,1
29171177010478,1,2004,21,139,34,3,2004,0.4,0.375,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4,1,0,0,2,1
29171177010478,1,2004,21,139,34,4,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
514078448126144,1,2019,27,35,20454,3,2019,0.25,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.3,0.1,1,,,20,1
514078448126144,1,2019,27,35,20454,4,2019,3.1,0.85,3.7,0.9,2.7,0.7,3.5,1,2.5,0.8,1,,,20,1
514079068126144,,2019,27,73,20075,2,2019,,,,,,,,,,,1,,,,2
514079068126144,,2019,27,73,20075,3,2019,,,,,,,,,,,1,,,,2
514079068126144,2,2019,27,73,20075,4,2019,0.275,0.1,0.3,0.1,0.2,0.1,0.3,0.1,0.3,0.1,1,,,7.8,1
514079060126144,1,2019,27,151,20238,2,2019,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.1,1,1,1,20,1
514079060126144,1,2019,27,151,20238,3,2019,0.15,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,1,,,8.7,1
514079060126144,1,2019,27,151,20238,4,2019,0.25,0.1,0.3,0.1,0.2,0.1,0.3,0.1,0.2,0.1,1,,,17,1
610553378126144,1,2020,27,21,20637,2,2020,0.5,0.2,0.4,0.2,0.5,0.2,0.5,0.2,0.6,0.2,1,1,1,20,1
610553378126144,1,2020,27,21,20637,3,2020,1.275,0.55,1.1,0.5,1.4,0.6,1.2,0.5,1.4,0.6,1,,,18.1,1
610553378126144,2,2020,27,21,20637,4,2020,5.15,1.075,6,1,4.8,1,5.1,1.5,4.7,0.8,1,,,6.1,1
610553470126144,1,2020,27,21,20935,2,2020,1.125,0.35,1.1,0.4,1.2,0.4,1,0.3,1.2,0.3,1,3,3,11.5,1
610553470126144,,2020,27,21,20935,3,2020,,,,,,,,,,,1,,,,2
610553470126144,,2020,27,21,20935,4,2020,,,,,,,,,,,1,,,,2
610552627126144,,2020,27,75,29384,2,2020,,,,,,,,,,,1,,,,7
610552627126144,,2020,27,75,29384,3,2020,,,,,,,,,,,1,,,,7
610552627126144,,2020,27,75,29384,4,2020,,,,,,,,,,,1,,,,7
610553243126144,,2020,27,71,22062,2,2020,,,,,,,,,,,1,,,,4
610553243126144,,2020,27,71,22062,3,2020,,,,,,,,,,,1,,,,4
610553243126144,,2020,27,71,22062,4,2020,,,,,,,,,,,1,,,,4
610553574126144,,2020,27,77,20055,2,2020,,,,,,,,,,,1,,,,9
610553574126144,,2020,27,77,20055,3,2020,,,,,,,,,,,1,,,,9
610553574126144,,2020,27,77,20055,4,2020,,,,,,,,,,,1,,,,9
610553941126144,,2020,27,77,20391,2,2020,,,,,,,,,,,1,,,,9
610553941126144,,2020,27,77,20391,3,2020,,,,,,,,,,,1,,,,9
610553941126144,,2020,27,77,20391,4,2020,,,,,,,,,,,1,,,,9
610553974126144,,2020,27,87,20226,2,2020,,,,,,,,,,,1,,,,6
610553974126144,2,2020,27,87,20226,3,2020,0.25,0.15,0.3,0.2,0.2,0.1,0.2,0.1,0.3,0.2,1,,,20,1
610553974126144,1,2020,27,87,20226,4,2020,0.25,0.15,0.2,0.1,0.3,0.2,0.3,0.2,0.2,0.1,1,,,20,1
